"","primitive","classical","secretory","basal"
"AFF2",-0.0797128845110556,0.0715709367867496,-0.0423222874961377,-0.0287063209248986
"AFF3",-0.0132255416590904,-0.0139947457456634,0.0693689083497639,-0.00852024881077651
"AFG3L2",0.0633639144745923,0.303629387810576,-0.366954275621131,-0.070975710766687
"AFM",0.0224711763592544,0.0323926131293005,-0.0190552725833085,-0.0151846829556791
"AFP",0.0437580563374644,0.0163199157901939,0.00282938289459479,-0.0957446198278024
"AGA",-0.207239955847922,0.00375513137335486,-0.0662611183007791,0.168082874162527
"AGBL2",0.0401388183967706,-0.0104349246305391,0.0543386347067777,-0.0315309615797354
"AGBL5",0.406383338234174,0.14757008511733,-0.30118958471235,0.078107448539139
"AGL",0.117225981363101,0.016230737043771,-0.140927588955888,0.0801195274920559
"AGPAT1",0.136475459432475,-0.134750508578404,0.102051107186196,0.00896968106514695
"AGPAT2",-0.150134341422313,0.0183942819063361,0.0869545201177022,-0.110582345779941
"AGPAT3",0.0738407029293842,-0.088556076139627,0.013127251445853,0.00648452220247542
"AGPAT4",0.0681100850237584,-0.153809386153837,0.0880206254536633,0.111533491163652
"AGR2",-0.991971683994926,-0.269078607113419,0.599267375171662,0.320922187313217
"AGRN",-0.00561415758616377,-0.0417937445428684,-0.0188718985858378,0.134116314503928
"AGRP",-0.0238315580778647,-0.00842798778169795,0.0231433477211591,-0.0109703942990631
"AGT",0.109851827876592,-0.060153285897671,0.260296172658913,-0.0929761897524057
"AGTPBP1",0.0313343079782263,-0.0988258687117165,0.143324061240442,-0.156346919200339
"AGTR1",-0.0194978504366759,-0.0770667184116541,0.164236242935569,-0.0101521710467198
"AGTR2",-0.133693307274755,-0.0550294981036552,0.163559525413424,0.0625420512239345
"AGXT",-0.0186783493240518,0.00216302725926565,0.0176568875820083,-0.0508296648989996
"AGXT2L1",0.0279634322989826,-0.000116217107421546,0.0329742670868394,-0.0676815317354598
"AHCTF1",0.117473730459264,0.211166892108023,-0.192728972326935,-0.14459450215113
"AHCY",0.30672788099973,0.22193826129252,-0.523071036909062,-0.134909521408846
"AHI1",0.305301193663541,-0.193473345505167,0.162330168242434,-0.0348486243575594
"AHNAK",-0.605602317569959,0.0504540336154877,-0.0525950887048443,0.22496241117187
"AHNAK2",-1.2361454284274,0.0556689618054169,-0.628109094824872,1.03611755178708
"AHR",-0.664048506098044,0.076304790392983,0.161894775470713,0.15355937588002
"AHSA1",0.180133716782711,0.0721392343336707,-0.279120855902392,0.0534807841173608
"AHSG",0.0103038479873575,0.0848370307949293,-0.0459817512741136,-0.106688789523017
"AICDA",-0.0282458233326316,-0.00760495090641133,0.0833141817646591,0.000350898286536117
"AIF1",-0.393802196909221,-0.1795418254769,0.732058058827026,-0.164389114725997
"AIFM1",0.0269118713197836,0.121715613284633,-0.126770780100733,-0.106392740085825
"AIM1L",-0.188366322592292,0.106543230876274,-0.178325281025359,0.215035563520052
